parcel_id,apn,county_fips,lot_sqft,zoning_code,zoning_allows_surface_parking,is_corner_lot,distance_to_nearest_demand_m,score_identification,score_entitlement,score_strategic,centroid_lon,centroid_lat
80150747-6aa8-4fd7-a11e-a0b6d0d512fb,033-9568800005,53033,4117.282300295089,,false,false,19829.711677258034,,,,-122.20354078810716,47.762123192168296
e3586d21-8724-442a-951d-c89e269909da,033-9568800010,53033,6068.250191725947,,false,false,19819.516393655565,,,,-122.20378696813451,47.762110251301095
a82f876f-e903-4eb3-a2ba-9e37c62c862f,033-9568800015,53033,6549.985696672847,,false,false,19808.06773220972,,,,-122.20407097679467,47.76209838920598
9e2c2d22-22a5-4ca5-9ff5-01ad7ec3efc3,033-9568800030,53033,9482.70807558083,,false,false,19794.68043349021,,,,-122.2044035890718,47.7620844961033
080d1a97-6158-4efe-a208-3484bdf52b51,033-9568800041,53033,5062.480579634942,,false,false,19783.3493628251,25.0,,,-122.2046855471413,47.762072717909824
e586ddca-d2d8-4da2-b9b8-af4a7fea3552,033-9568800045,53033,5019.726504359436,,false,false,19775.932469764684,,,,-122.20487529218647,47.76206683811372
83e6fc43-c323-4a39-b13f-cfd9eaeaebbc,033-9568800050,53033,5479.964619725428,,false,false,19768.149245829638,,,,-122.20506414919713,47.76205679417083
cc3028b1-d2df-46b3-9831-aa5009583f15,033-9568800055,53033,6762.764162511749,,false,false,19803.395783243384,,,,-122.2050970174783,47.76243054239611
e9a563ab-944e-43b8-89ea-3d6823e205fd,033-9568800060,53033,5234.753240107739,,false,false,19809.58536272312,,,,-122.2048828207926,47.762415016540956
22e7c03b-9fb0-4180-8e9b-2c9ee83d8536,033-9568800065,53033,9853.825502218604,,false,false,19819.214144249483,25.0,,,-122.20459823857611,47.7624086381772
44236f8b-476c-41c7-b20c-cb3e4ec8f63b,033-9568800070,53033,4619.068678736137,,false,false,19828.996024789063,0.0,,,-122.20430968321743,47.76240217123022
5f645e51-ba42-4864-a841-fe7829364ef9,033-9568800075,53033,4413.9077074067445,,false,false,19835.48231354406,,,,-122.204118642375,47.76239788764158
17288c78-1757-4025-9b42-420255b1d078,033-9568800085,53033,4208.691502434227,,false,false,19841.976857843558,0.0,,,-122.20392760385774,47.762393605494324
d2b594b5-4c7d-4d08-81b7-8238f354bffc,033-9568800090,53033,4003.497790198417,,false,false,19848.47936604234,,,,-122.20373656891306,47.76238932234169
7bf59b9c-95e7-42ab-bcd2-8885cef177d5,033-9568800095,53033,4041.9862744775432,,false,false,19854.96268406392,,,,-122.20353949724695,47.76238250457766
cafd2675-f67e-4f05-a073-5ae898f9b97f,033-9568800100,53033,9000.71742354621,,false,false,19975.352091493525,,,,-122.20364232269297,47.763657795057405
823c50de-f7d1-4709-b0c5-51b0d0f79382,033-9568800105,53033,7133.764093578515,,false,false,19866.37834118253,,,,-122.20447204881714,47.76284607191641
9835dd7e-e3b0-4e49-9b63-38158ef5261f,033-9568800110,53033,7220.730740554057,,false,false,19898.999998689942,,,,-122.2036814503054,47.76288812910929
ea82283d-4452-48c0-a02e-62c459c528f8,033-9568800115,53033,12530.963205415394,,false,false,19876.81056573763,,,,-122.20413781257989,47.76282951639865
71424e66-b89d-46dd-bf30-d4deb0d93490,033-9568800120,53033,18180.675231352132,,false,false,19908.180166469927,,,,-122.20456409337969,47.76330879467003
a269a67d-9225-4c34-863e-a2059a596a61,033-9568800121,53033,12336.537482234957,,false,false,19955.050046256656,,,,-122.20420559618343,47.76365740141296
279083e9-47a2-48d7-9756-f07e35966b84,033-9568800122,53033,10509.002242402843,,false,false,19942.474573053587,25.0,,,-122.20405199022966,47.763471772365726
